Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount,Id,Price,User_id,profileName,review/helpfulness,review/score,review/time,review/summary,review/text,sentiment
Meditation Handbook,"The New Meditation Handbook is a practical guide to meditation that teaches us how to make ourself and others happy by developing inner peace, and in this way making our lives more meaningful. Without inner peace there is no real happiness at all. Problems, suffering and unhappiness do not exist outside the mind; they are feelings and thus part of our mind. Therefore, it is only by controlling our mind that we can permanently stop our problems and make ourself and others truly happy. The twenty-one Buddhist meditation practices presented in this book are actual methods to control our mind and experience lasting inner peace. This extremely practical guide is an indispensable handbook for those seeking happiness and meaning in their lives.",['Kelsang Gyatso'],http://books.google.com/books/content?id=zd20oAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=zd20oAEACAAJ&dq=Meditation+Handbook&hl=&cd=1&source=gbs_api,,2013,http://books.google.nl/books?id=zd20oAEACAAJ&dq=Meditation+Handbook&hl=&source=gbs_api,['Buddhism'],,0948006307,,A1AY8426AQRKTO,Mimi W,97/108,5.0,1069977600,great book - I use it every day,"This book has a very clear introduction about what meditation is and how to meditate, but what makes this book really worth owning is the cycle of 21 meditations, starting with understanding how precious our lives are, through developing compassion and learning about the ultimate nature of reality.My practice gets deeper with every round of meditations I do.Highly recommended.",1
One for the Money,"Now available in a special 25th anniversary edition! Discover where it all began—#1 New York Times bestselling author Janet Evanovich’s first “snappily written, fast-paced, and witty” (USA TODAY) novel in the beloved Stephanie Plum series featuring a feisty and funny heroine who “comes roaring in like a blast of very fresh air” (The Washington Post). Meet Stephanie Plum, a bounty hunter with attitude. In Stephanie’s opinion, toxic waste, rabid drivers, armed schizophrenics, and August heat, humidity, and hydrocarbons are all part of the great adventure of living in Jersey. She’s a product of the “burg,” a blue-collar pocket of Trenton where houses are attached and narrow, cars are American, windows are clean, and (God forbid you should be late) dinner is served at six. Out of work and out of money, Stephanie blackmails her bail-bondsman cousin Vinnie into giving her a try as an apprehension agent. Stephanie knows zilch about the job requirements, but she figures her new pal, el-primo bounty hunter Ranger, can teach her what it takes to catch a crook. Her first assignment: nail Joe Morelli, a former vice cop on the run from a charge of murder one. Morelli’s the inamorato who charmed Stephanie out of her virginity at age sixteen. There’s still powerful chemistry between them, so the chase should be interesting…and could also be extremely dangerous.",['Janet Evanovich'],http://books.google.com/books/content?id=z66WDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=z66WDwAAQBAJ&printsec=frontcover&dq=One+for+the+Money&hl=&cd=1&source=gbs_api,Scribner,2019-06-04,http://books.google.com/books?id=z66WDwAAQBAJ&dq=One+for+the+Money&hl=&source=gbs_api,['Fiction'],3215.0,B000CNRC2E,,A2I6MHMAZZDCRX,Mark Baker,97/108,5.0,1030060800,Stephanie has Captured a New Fan,"Stephanie Plum has been out of work for months. With her savings gone and her car repossessed, she's desperate enough to ask her cousin Vinnie for a job. But the filing job she went in for has been filled, so she decides to try her hand at bounty hunting. After all, how hard can it be?Turns out to be plenty hard. After all, most of the criminals won't come when asked politely. And she did target Joe Morelli, a cop on the run trying to prove he was framed. Still, that huge paycheck and a shared past keep her focused on Morelli. But when boxer Benito Ramirez starts dogging her trail, she begins to suspect she's in over her head. Can she survive long enough to bring Morelli in?I've been hearing lots about these books, but hadn't had a chance to try one yet. Wish I hadn't waited so long. The writing style is engaging and the pace fast. I had a hard time putting the book down and couldn't stop thinking about it when I did. When the book ended, I started looking around for the second to see what would happen next to the main characters.It's easy to see why this series is so popular. The fun characters and storyline make for quick, light reading. I'm looking forward to catching up on the seven books I haven't read yet and hope to enjoy visits with these characters for many years to come.",1
"How to Win Friends & Influence People (Cardinal Editions, C 303)","Do you feel stuck in life, not knowing how to make it more successful? Do you wish to become more popular? Are you craving to earn more? Do you wish to expand your horizon, earn new clients and win people over with your ideas? How to Win Friends and Influence People is a well-researched and comprehensive guide that will help you through these everyday problems and make success look easier. You can learn to expand your social circle, polish your skill set, find ways to put forward your thoughts more clearly, and build mental strength to counter all hurdles that you may come across on the path to success. Having helped millions of readers from the world over achieve their goals, the clearly listed techniques and principles will be the answers to all your questions.",['Dale Carnegie'],http://books.google.com/books/content?id=hCf-DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=hCf-DwAAQBAJ&printsec=frontcover&dq=How+to+Win+Friends&hl=&cd=1&source=gbs_api,Sristhi Publishers & Distributors,2020-10-12,https://play.google.com/store/books/details?id=hCf-DwAAQBAJ&source=gbs_api,['Self-Help'],,B00086Q244,,A34PAZQ73SL163,"Bernard Chapin ""Ora Et Labora!""",97/108,5.0,1112486400,How to Live Your Life.,"For those of us who work in psychology, there is often a tendency to look down on works that were created for the mainstream population. They are sometimes dismissed as ""pop psychology."" I believe that I regarded How to Win Friends... until I read it upon the recommendation of a friend. I could not have been more wrong about a book. Although Carnegie's title is often the target of derision, it is a deceptively deep and important work. There's a very good reason why How to Win Friends... has been a bestseller for seventy years as the man shares essential truths with us about human behavior. Every single one of us can profit from his advice. His central ideas, such as that one should avoid arguments whenever possible, cannot be questioned. The command that one should listen to others and let them talk about themselves is crucial to being liked. A ""simple"" idea like that one is one that actually works. I'm considering putting his nine rules for effective leadership on my wall so I can remember to generate enthusiasm in others and lead by example.I was really surprised as to how much this book matters and how much I learned by reading it. Yes, some of the advice may be obvious, but it brings the correct way in which to interact with others to the forefront of the mind and that's why it's so valuable.",1
Catch 22,Presents the contemporary classic depicting the struggles of a U.S. airman attempting to survive the lunacy and depravity of a World War II base,['Joseph Heller'],http://books.google.com/books/content?id=Xfze51E7TEoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=Xfze51E7TEoC&printsec=frontcover&dq=Catch+22&hl=&cd=1&source=gbs_api,Simon and Schuster,1999-10-05,http://books.google.nl/books?id=Xfze51E7TEoC&dq=Catch+22&hl=&source=gbs_api,['Fiction'],333.0,B000NSFDQK,,A25PY2R0MCWTEU,Nick Jurewicz,97/107,5.0,952041600,A cynical analysis of any war,"I would first like to inform other reviewers that I am a high school junior, read this as part of a choice novel project, and had no trouble grasping the ideas that Joseph Heller presented within his Catch-22.The sarcastic attitude of this novel is conspicuous, and all bonds with reality are dropped with the first character introductions. The humor that has previously been criticized I found to be easy to understand, not monotonous, and a unique aspect to illustrate WW2. This is not to say the humor is for all, because Heller uses many paradoxes (look up definition of ""catch-22""), simple one line contradictions, and subtle word choices to draw a laugh-all which represent the personality of the novel.Yes, there are many characters, probably over fifty, yet grasping the names is not important at all times. Of course you quickly get associated with Yossarian and the other main characters, and chapter do reintroduce people from the early parts of the book. This may be annoying, yet each character is distinct, and there is little chance of confusing Milo, and entrepeneur, with Havermeyer, the elite pilot. In truth, the novel lacks a linear time, but chooses, rather, to define the novel through numerous character sketches, focusing them loosely around Yossarian. By the later chapters of the novel, Heller subtly introduces the gruesome truths of the war, balancing the early humor with more realistic look. It is through this transition that the weight of the situation is elucidated, and by contrasting the final chapters with the first, Heller is able to attract our attention and force us to analyze the war.What is the novel about? There is no simple answer, yet if I attempt to state it in a single sentence Catch-22's theme, it would be ""The only true fault of America's once the war began, was that we as a nation began to glorify war, without truly understanding the implications of our actions.""What is the idea behind catch-22 as a statement? Read the book. Enjoy. Open your eyes with laughter and tears. Perhaps you won't like the satirical tone, but I would suggest to all that you try.",0
The Last Jihad (Political Thrillers Series #1),"A gripping and prescient tale from New York Times best selling author Joel C. Rosenberg. ""... The Last Jihad absolutely crackles with high energy and a chilling premise--what if the war on terror goes nuclear."" -- Rush Limbaugh Jon Bennett is a top Wall Street strategist turned senior White House advisor. But nothing has prepared him for the terror that he will face. Saddam Hussein dispatches his top hit men to assassinate the President of the United States. Iraqi terrorists spread carnage throughout London, Paris, and Riyadh . . . and the Butcher of Baghdad has a nuclear ace in his hand that he has not yet played. Only a solid Arab-Isreali coalition against Iraq can keep the U.S.--and other Western nations--from certain devastation. And only Bennett and his beautiful partner, Erin McCoy, can make that happen. Their secret project--a billion-dollar oil deal off the coast of Gaza--could be the basis for an historic peace treaty and enormous wealth for every Isreali and Palestinian. But just before a treaty can be signed, Isreali commandos foil an Iraqi Scud missile launch, recovering a nuclear warhead and evidence that the next attack will level Washington, New York and Tel Aviv. Now, the Isreali Prime Minister gives the American President an ultimatum: Melt down Baghdad within one hour . . . or Israel will do it herself. From Jerusalem, Bennett and McCoy must summon all their stealth and savvy to save themselves--and the world--from absolute destruction. At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",['Joel C. Rosenberg'],http://books.google.com/books/content?id=SjUSmvVzar0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=SjUSmvVzar0C&printsec=frontcover&dq=The+Last+Jihad+(Political+Thrillers+Series&hl=&cd=1&source=gbs_api,Forge Books,2010-08-24,https://play.google.com/store/books/details?id=SjUSmvVzar0C&source=gbs_api,['Fiction'],61.0,0765307154,,A34CXLS24ETLMO,"Jan P. Dennis ""Longboard jazzer""",97/107,5.0,1038528000,Estimable effort from a writer to watch,"Joel Rosenberg, a political columnist for World magazine, has written quite an amazing first novel.One of the interesting things about it is that it proves evangelical Christians can write international thrillers and get published by New York publishers if their stories are strong enough. And this one is. Rosenberg, not really a Washington ""insider,"" nevertheless either knows enough about Beltway affairs or has done his research sufficiently to render the world of Washington in all its tawdry splender very effectively.The author also writes quite astonishing action scenes, e.g., the opening sequence where a Gulfstream G4 crashes into the President's limo, the shootout in the former top Mossad agent's house in Jerusalem, and the sniper sequence prior to the memorial service for the secret service agents.Not everything works optimally. I felt the main character's expertise--the ability to see patterns in the most obscure details, put them together, and forcast events--could've been more effectively used in the last half of the book. Also, there's not a whole lot of chemistry between the hero and his purported love interest.But these are quibbles. All in all, it's a fine effort.",1
"The History of Sexuality, Vol. 1: An Introduction",,,,,,,,,,0679724699,11.03,A1F7E95PYW7N7W,Neal Stanifer,97/107,5.0,941414400,One of the most important books of our time,"Foucault's three-part History of Sexuality begins here with an examination of the ways in which our contemporary interpretation of sexuality has been shaped by historical trends. Foucault makes a compelling case for the construction of sexual identity as a function of political and economic forces. This book is a must-read for anyone interested in sexuality, psychoanalysis, gender studies, queer theory, or feminisms, or indeed anyone who wishes to confront his or her own personal assumptions about gender and sexuality. Think you know what normal is? After Foucault, you may not be so sure. (One more thing: while this book is a fascinating read which can stand alone, I strongly advise anyone interested in this subject to go on to read the second and third volumes)",1
Catch-22,"This fiftieth-anniversary edition commemorates Joseph Heller’s masterpiece with a new introduction; critical essays and reviews by Norman Mailer, Alfred Kazin, Anthony Burgess, and others; rare papers and photos; and much more. Nominated as one of America’s best-loved novels by PBS’s The Great American Read. Soon to be a Hulu limited series starring Christopher Abbott, George Clooney, Kyle Chandler, and Hugh Laurie. Fifty years after its original publication, Catch-22 remains a cornerstone of American literature and one of the funniest—and most celebrated—books of all time. In recent years it has been named to “best novels” lists by Time, Newsweek, the Modern Library, and the London Observer. Set in Italy during World War II, this is the story of the incomparable, malingering bombardier, Yossarian, a hero who is furious because thousands of people he has never met are trying to kill him. But his real problem is not the enemy—it is his own army, which keeps increasing the number of missions the men must fly to complete their service. Yet if Yossarian makes any attempt to excuse himself from the perilous missions he’s assigned, he’ll be in violation of Catch-22, a hilariously sinister bureaucratic rule: a man is considered insane if he willingly continues to fly dangerous combat missions, but if he makes a formal request to be removed from duty, he is proven sane and therefore ineligible to be relieved. This fiftieth-anniversary edition commemorates Joseph Heller’s masterpiece with a new introduction by Christopher Buckley; a wealth of critical essays and reviews by Norman Mailer, Alfred Kazin, Anthony Burgess, and others; rare papers and photos from Joseph Heller’s personal archive; and much more. Here, at last, is the definitive edition of a classic of world literature.",['Joseph Heller'],http://books.google.com/books/content?id=U9V8JYt7WwoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=U9V8JYt7WwoC&printsec=frontcover&dq=Catch-22&hl=&cd=1&source=gbs_api,Simon and Schuster,2010-10-26,https://play.google.com/store/books/details?id=U9V8JYt7WwoC&source=gbs_api,['Fiction'],,B000HH4MYQ,,A25PY2R0MCWTEU,Nick Jurewicz,97/107,5.0,952041600,A cynical analysis of any war,"I would first like to inform other reviewers that I am a high school junior, read this as part of a choice novel project, and had no trouble grasping the ideas that Joseph Heller presented within his Catch-22.The sarcastic attitude of this novel is conspicuous, and all bonds with reality are dropped with the first character introductions. The humor that has previously been criticized I found to be easy to understand, not monotonous, and a unique aspect to illustrate WW2. This is not to say the humor is for all, because Heller uses many paradoxes (look up definition of ""catch-22""), simple one line contradictions, and subtle word choices to draw a laugh-all which represent the personality of the novel.Yes, there are many characters, probably over fifty, yet grasping the names is not important at all times. Of course you quickly get associated with Yossarian and the other main characters, and chapter do reintroduce people from the early parts of the book. This may be annoying, yet each character is distinct, and there is little chance of confusing Milo, and entrepeneur, with Havermeyer, the elite pilot. In truth, the novel lacks a linear time, but chooses, rather, to define the novel through numerous character sketches, focusing them loosely around Yossarian. By the later chapters of the novel, Heller subtly introduces the gruesome truths of the war, balancing the early humor with more realistic look. It is through this transition that the weight of the situation is elucidated, and by contrasting the final chapters with the first, Heller is able to attract our attention and force us to analyze the war.What is the novel about? There is no simple answer, yet if I attempt to state it in a single sentence Catch-22's theme, it would be ""The only true fault of America's once the war began, was that we as a nation began to glorify war, without truly understanding the implications of our actions.""What is the idea behind catch-22 as a statement? Read the book. Enjoy. Open your eyes with laughter and tears. Perhaps you won't like the satirical tone, but I would suggest to all that you try.",0
The Adventures of Augie March,,,,,,,,,,B000L30HNQ,,,,97/107,4.0,1090108800,"Impressive and yet- Saul and Augie, can't we get on with it?","For what has been widely described as both a picaresque and coming-of-age novel, Augie March is neither a quick read nor an easy one. Okay, there's no rule that requires novels in these categories to be either. But still and all, one somehow feels uneasy, given the various changes in locale and steady aging of the protagonist, that Bellow (or Augie) so steadfastly refuses to get on with it already.Much of the novel is rendered in a convoluted narrative style-Augie's voice-that may be termed ornate. Or off-putting. Or ornately off-putting. Intended to echo, presumably, the Yiddish, German and Russian speech patterns Augie grows up hearing in Chicago during the twenties and thirties, this narrative device may in fact do that; but its syntactical wanderings soon begin to remind one, whatever their authenticity, of the criticism once leveled at Henry Luce's beloved Timestyle: ""Backward ran the sentences until reeled the mind."" Lexicon also figures in the curious mix, as words are combined in unexpected ways-sometimes cleverly (and with a kind of mini-revelation effect: you mean you can say that?) but just as often, apparently, randomly--just for the heck of it. Augie likes to talk (write), and what comes out, comes out:&quot;Many repeated pressures with the same effect as one strong blow, that was [Einhorn's] method, he said, and it was his special pride that he knew how to use the means contributed by the age to connive as ably as anyone else; when in a not so advanced time he'd have been mummy-handled in a hut or somebody might have had to help him be a beggar in front of a church, the next thing to a memento mori or, more awful, a reminder of what difficulties there were before you could even become dead.&quot;[...]&quot;On the final day she watched the trunk wag down the front stairs, on the back of the mover, with an amazing, terrible look of presidency, and supervised everything, every last box, in this fashion, gruesomely and violently white so that her mouth's corner hairs were minutely apparent, but in rigid-backed aristocracy, full face to the important transfer to something better from this (now that she turned from it) disgracefully shabby flat of a deserted woman and her sons whom she had preserved while a temporary guest.&quot;[...]&quot;Quiet, quiet, quiet afternoon in the back-room study, with an oil cloth on the library table, invisible cars snoring and trembling toward the park, the sun shining into the yard outside the window barred against housebreakers, billiard balls kissing and bounding on the felt and sponge rubber, and the undertaker's back door still and stiller, cats sitting on the paths in the Lutheran gardens over the alley that were swept and garnished and scarcely ever trod by the chin-tied Danish deaconesses who'd come out on the cradle-ribbed and always fresh-painted porches of their home.&quot;There is much to be enjoyed and admired in all this-but at a pace, of course, that can only be determinedly leisurely, as sentences and paragraphs (often enough the same thing) demand re-reading for full appreciation. And while one is doing the necessary appreciating, a small voice in some northwest anterior lobe of the reader's brainpan is becoming more insistent all the while: yes-yes, but where is this getting us?An interesting cast of characters is presented; the novel's locations are admirably painted in; the years move along, from the twenties through the Crash, the Depression and the war; and yet the principal development one cannot help but wait for-Augie's, as these are his adventures, after all-simply does not, well, develop. The hero is a listener, a passive-aggressive; he has considerable native intelligence and a hungry mind, but no real resolve to put either to work for his own benefit or that of others. Ideas, ideologies, approaches to life and love and various behavior patterns are introduced to Augie; he picks and chooses, learns and doesn't learn, sort of grows and doesn't grow. In the end, working in post-war Europe as a middle-level black marketeer, the hero is in fact little changed from the Chicago street urchin of two decades before. And little concerned by this fact. Which leads one to wonder: should anyone else be?Are we not vastly more concerned over the fate of Tom Jones, or Holden Caufield, or (closer to home here) Duddy Kravitz-or just about any other coming-of-age/picaresque hero you can think of ? Yes, we are. Augie March's dilemma-what exactly he wants to do with his life-has taken up a dense 557 pages and remained unresolved. This has been called ""existential."" Fine. No one says that life offers everyone a workable ""resolution."" But that may be why novels aren't written about everyone. Whatever name one assigns Augie's condition, in any case, the fact remains that all his adventuring leaves him in a state of self-inflicted inconclusiveness-and leaves us muttering okay, okay-get on with it!",1
Catch 22,Presents the contemporary classic depicting the struggles of a U.S. airman attempting to survive the lunacy and depravity of a World War II base,['Joseph Heller'],http://books.google.com/books/content?id=Xfze51E7TEoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=Xfze51E7TEoC&printsec=frontcover&dq=Catch+22&hl=&cd=1&source=gbs_api,Simon and Schuster,1999-10-05,http://books.google.nl/books?id=Xfze51E7TEoC&dq=Catch+22&hl=&source=gbs_api,['Fiction'],333.0,B000B770YG,,A25PY2R0MCWTEU,Nick Jurewicz,97/107,5.0,952041600,A cynical analysis of any war,"I would first like to inform other reviewers that I am a high school junior, read this as part of a choice novel project, and had no trouble grasping the ideas that Joseph Heller presented within his Catch-22.The sarcastic attitude of this novel is conspicuous, and all bonds with reality are dropped with the first character introductions. The humor that has previously been criticized I found to be easy to understand, not monotonous, and a unique aspect to illustrate WW2. This is not to say the humor is for all, because Heller uses many paradoxes (look up definition of ""catch-22""), simple one line contradictions, and subtle word choices to draw a laugh-all which represent the personality of the novel.Yes, there are many characters, probably over fifty, yet grasping the names is not important at all times. Of course you quickly get associated with Yossarian and the other main characters, and chapter do reintroduce people from the early parts of the book. This may be annoying, yet each character is distinct, and there is little chance of confusing Milo, and entrepeneur, with Havermeyer, the elite pilot. In truth, the novel lacks a linear time, but chooses, rather, to define the novel through numerous character sketches, focusing them loosely around Yossarian. By the later chapters of the novel, Heller subtly introduces the gruesome truths of the war, balancing the early humor with more realistic look. It is through this transition that the weight of the situation is elucidated, and by contrasting the final chapters with the first, Heller is able to attract our attention and force us to analyze the war.What is the novel about? There is no simple answer, yet if I attempt to state it in a single sentence Catch-22's theme, it would be ""The only true fault of America's once the war began, was that we as a nation began to glorify war, without truly understanding the implications of our actions.""What is the idea behind catch-22 as a statement? Read the book. Enjoy. Open your eyes with laughter and tears. Perhaps you won't like the satirical tone, but I would suggest to all that you try.",0
Adventures of Augie March,"This is the fictional autobiography of a rumbustious adventurer and poker-player who sets off from his native Chicago in the spirit of a latter-day Columbus to rediscover the world - and more especially, 20th century America.",['Saul Bellow'],http://books.google.com/books/content?id=OedhGWAQV2cC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=OedhGWAQV2cC&dq=Adventures+of+Augie+March&hl=&cd=1&source=gbs_api,Penguin UK,1954,http://books.google.com/books?id=OedhGWAQV2cC&dq=Adventures+of+Augie+March&hl=&source=gbs_api,['Americans'],,B000N76FQS,,,,97/107,4.0,1090108800,"Impressive and yet- Saul and Augie, can't we get on with it?","For what has been widely described as both a picaresque and coming-of-age novel, Augie March is neither a quick read nor an easy one. Okay, there's no rule that requires novels in these categories to be either. But still and all, one somehow feels uneasy, given the various changes in locale and steady aging of the protagonist, that Bellow (or Augie) so steadfastly refuses to get on with it already.Much of the novel is rendered in a convoluted narrative style-Augie's voice-that may be termed ornate. Or off-putting. Or ornately off-putting. Intended to echo, presumably, the Yiddish, German and Russian speech patterns Augie grows up hearing in Chicago during the twenties and thirties, this narrative device may in fact do that; but its syntactical wanderings soon begin to remind one, whatever their authenticity, of the criticism once leveled at Henry Luce's beloved Timestyle: ""Backward ran the sentences until reeled the mind."" Lexicon also figures in the curious mix, as words are combined in unexpected ways-sometimes cleverly (and with a kind of mini-revelation effect: you mean you can say that?) but just as often, apparently, randomly--just for the heck of it. Augie likes to talk (write), and what comes out, comes out:&quot;Many repeated pressures with the same effect as one strong blow, that was [Einhorn's] method, he said, and it was his special pride that he knew how to use the means contributed by the age to connive as ably as anyone else; when in a not so advanced time he'd have been mummy-handled in a hut or somebody might have had to help him be a beggar in front of a church, the next thing to a memento mori or, more awful, a reminder of what difficulties there were before you could even become dead.&quot;[...]&quot;On the final day she watched the trunk wag down the front stairs, on the back of the mover, with an amazing, terrible look of presidency, and supervised everything, every last box, in this fashion, gruesomely and violently white so that her mouth's corner hairs were minutely apparent, but in rigid-backed aristocracy, full face to the important transfer to something better from this (now that she turned from it) disgracefully shabby flat of a deserted woman and her sons whom she had preserved while a temporary guest.&quot;[...]&quot;Quiet, quiet, quiet afternoon in the back-room study, with an oil cloth on the library table, invisible cars snoring and trembling toward the park, the sun shining into the yard outside the window barred against housebreakers, billiard balls kissing and bounding on the felt and sponge rubber, and the undertaker's back door still and stiller, cats sitting on the paths in the Lutheran gardens over the alley that were swept and garnished and scarcely ever trod by the chin-tied Danish deaconesses who'd come out on the cradle-ribbed and always fresh-painted porches of their home.&quot;There is much to be enjoyed and admired in all this-but at a pace, of course, that can only be determinedly leisurely, as sentences and paragraphs (often enough the same thing) demand re-reading for full appreciation. And while one is doing the necessary appreciating, a small voice in some northwest anterior lobe of the reader's brainpan is becoming more insistent all the while: yes-yes, but where is this getting us?An interesting cast of characters is presented; the novel's locations are admirably painted in; the years move along, from the twenties through the Crash, the Depression and the war; and yet the principal development one cannot help but wait for-Augie's, as these are his adventures, after all-simply does not, well, develop. The hero is a listener, a passive-aggressive; he has considerable native intelligence and a hungry mind, but no real resolve to put either to work for his own benefit or that of others. Ideas, ideologies, approaches to life and love and various behavior patterns are introduced to Augie; he picks and chooses, learns and doesn't learn, sort of grows and doesn't grow. In the end, working in post-war Europe as a middle-level black marketeer, the hero is in fact little changed from the Chicago street urchin of two decades before. And little concerned by this fact. Which leads one to wonder: should anyone else be?Are we not vastly more concerned over the fate of Tom Jones, or Holden Caufield, or (closer to home here) Duddy Kravitz-or just about any other coming-of-age/picaresque hero you can think of ? Yes, we are. Augie March's dilemma-what exactly he wants to do with his life-has taken up a dense 557 pages and remained unresolved. This has been called ""existential."" Fine. No one says that life offers everyone a workable ""resolution."" But that may be why novels aren't written about everyone. Whatever name one assigns Augie's condition, in any case, the fact remains that all his adventuring leaves him in a state of self-inflicted inconclusiveness-and leaves us muttering okay, okay-get on with it!",1
The Mark: The Beast rules the world (Left Behind),"His Excellency Global Community Potentate Nicolae Carpathia is back, this time as Satan. Resurrected and indwelt by the devil himself, the beast tightens his grip as ruler of the world. Terror comes to believers in Greece as they are among the first to face a GC loyalty mark application site. The gloves are off, as the forces of good and evil begin a battle for the very souls of men and women around the globe. A repackage of the eighth book in the New York Times best-selling Left Behind series.","['Tim LaHaye', 'Jerry B. Jenkins']",http://books.google.com/books/content?id=OXCCsSJlbTMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=OXCCsSJlbTMC&printsec=frontcover&dq=The+Mark:+The+Beast+rules+the+world+(Left+Behind)&hl=&cd=1&source=gbs_api,"Tyndale House Publishers, Inc.",2011-03-16,https://play.google.com/store/books/details?id=OXCCsSJlbTMC&source=gbs_api,['Fiction'],53.0,0842332316,,A295XT7PLUWR1V,Diana,97/106,3.0,979257600,"Not bad, but why bother when there's better?","Left Behind certainly isn't a bad book. In its own way, the series is kind of exciting and it's pretty fun reading an interpretation of the Endtime. The writing isn't really good, but it's bassically unobtrusive. You never stop and get shocked at how badly it's written, although you also don't stop and marvel at how beautiful a particular sentence is constructed. Nothing in it to offend, although nothing in it to really provoke thought or reflection.All in all, it's pretty much an interesting light snack. My feeling though, is, why bother with that when there's so much more out there. Christ Clone Trilogy by Beausinger is a fresh take on the idea that's every bit as well written as Dune or any other science fiction series. Caldwell's We All Fall Down is another great novel, the best of the three in my opinion. It's certainly not a middle of the road novel. The language can be harsh, although it seemed entierly appropriate to the characters situation- when being strapped down and tortured, I would guess harsh language would escape the tongue-, the plot is sometimes brutal, although it should be considering that it's hell on earth, and the characters don't always make the right decisions, even when they're Christians. But I found all of that to be to its credit. Even when I disagreed with what was happening or being said, I was always engaged in the novel. I was never just watching the words pass as in Left Behind, but was always fully engaged with the characters and the plot. These are characters who are faced with horrible circumstances and have to make decisions. Sometimes they are wrong, sometimes not, and often it's hard to judge. But in reading that, you're forced to think, to reflect. No one really seemed to make any inner choices in Left Behind, so there wasn't much engagement. Certainly it didn't spur me into thinking or questioning my own relationship with God the way Caldwell's novel did.Left Behind isn't bad. But Christ Clone Trilogy and We All Fall Down are brilliant. Why settle for not bad when brilliant is out there?",1
The Great Gatsby,"In The Great Gatsby F. Scott Fitzgerald captures the flamboyance, the carelessness and the cruelty of the wealthy during America's Jazz Age. Part of the Macmillan Collector’s Library; a series of stunning, clothbound, pocket sized classics with gold foiled edges and ribbon markers. These beautiful books make perfect gifts or a treat for any book lover. This beautiful Macmillan Collector's Library edition features an afterword by David Stuart Davies. The Great Gatsby lives mysteriously in a luxurious Long Island mansion, playing lavish host to hundreds of people. And yet no one seems to know him or how he became so rich. He is rumoured to be everything from a German spy to a war hero. People clamour for invitations to his wild parties. But Jay Gatsby doesn't heed them. He cares for one person alone - Daisy Buchanan, the woman he has waited for all his life. Little does he know that his infatuation will lead to tragedy and end in murder.",['F. Scott Fitzgerald'],http://books.google.com/books/content?id=d_qpCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=d_qpCwAAQBAJ&printsec=frontcover&dq=The+Great+Gatsby&hl=&cd=1&source=gbs_api,Pan Macmillan,2016-09-08,https://play.google.com/store/books/details?id=d_qpCwAAQBAJ&source=gbs_api,['Fiction'],,B000HLFD4K,,A13E0ARAXI6KJW,Ed Uyeshima,97/106,5.0,1208131200,Shines Brilliantly Like a Just-Discovered Piece of Cameo Jewelry from a Bygone Era,"It's difficult to give any even-handed critique F. Scott Fitzgerald's standard-setting Jazz Age novel since it was required reading for most of us in high school. However, if you come back to it as a full-fledged adult, you'll find that the story still resonates but more like a just-polished cameo piece from a forgotten time. At the core of the book is the elaborate infatuation Jay Gatsby has for Daisy Fay Buchanan, a love story portrayed with both a languid pall and a fatalistic urgency. But the broader context of the setting and the irreconcilable nature of the American dream in the 1920's is what give the novel its true gravitas.Much of this is eloquently articulated by Nick Carraway, Gatsby's modest Long Island neighbor who becomes his most trusted confidante. Nick is responsible for reuniting the lovers who both have come to different points in their lives five years after their aborted romance. Now a solitary figure in his luxurious mansion, Gatsby is a newly wealthy man who accumulated his fortunes through dubious means. Daisy, on the other hand, has always led a life of privilege and could not let love stand in the way of her comfortable existence. She married Tom Buchanan for that sole purpose. With Gatsby's ambition spurred by his love for Daisy, he rekindles his romance with Daisy, as Tom carries on carelessly with an auto mechanic's grasping wife. Nick himself gets caught up in the jet set trappings and has a relationship with Jordan Baker, a young golf pro.These characters are inevitably led on a collision course that exposes the hypocrisy of the rich, the falsity of a love undeserving and the transience of individuals on this earth. The strength of Fitzgerald's treatment comes from the lyrical prose he provides to illuminate these themes. Not a word is wasted, and the author's economical handling of such a potentially complex plot is a technique I wish were more frequently replicated today. Most of all, I simply enjoy the book because it does not portend a greater significance eighty years later. It is a classic tale that provides vibrancy and texture to a bygone era. It is well worth re-reading, especially at such a bargain price.",1
